end,item1,item2,item3,item4,lvl,name,server,sex,special_features1,special_features2,special_features3,special_features4,special_features5,start,status_auction,tc,vocation
"Aug 28 2020, 10:00 CEST","""a warrior helmet""","""a crown armor""","""a crown shield""","""a mystic blade""",20,Xico Aunt,Monza,Female,80 Sword Fighting (Loyalty bonus not included),73 Shielding (Loyalty bonus not included),,,,"Aug 27 2020, 10:05 CEST",Not Sold,250,Elite Knight
"Aug 28 2020, 10:00 CEST","""boots of haste""","""a wood cape""","""prismatic legs""","""a rift bow""",460,Caashination,Secura,Male,124 Distance Fighting (Loyalty bonus not included),111 Shielding (Loyalty bonus not included),Unlocked Powerful Imbuements: 12,Character World Transfer available,32 Magic Level (Loyalty bonus not included),"Aug 27 2020, 10:09 CEST",Sold,14014,Paladin
"Aug 28 2020, 10:00 CEST","""a gill gugel""","""a gill coat""","""gill legs""","""a spellbook of vigilance""",224,Mordus Yogo,Lutabra,Male,Unlocked Powerful Imbuements: 3,119 Achievement Points,"Blessings active: 7/7, Twist of Fate active: yes",81 Magic Level (Loyalty bonus not included),10 Quests completed,"Aug 27 2020, 10:08 CEST",Sold,1001,Master Sorcerer
"Aug 28 2020, 10:00 CEST","""a bow""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",21,Veyresio,Monza,Male,110 Distance Fighting (Loyalty bonus not included),100 Shielding (Loyalty bonus not included),4 Magic Level (Loyalty bonus not included),"Total Charm Points 0, Unused Charm Points: 0",,"Aug 27 2020, 10:05 CEST",Sold,327,Paladin
"Aug 28 2020, 10:00 CEST","""a prismatic armor""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",116,Bloker Curan,Peloria,Male,10x a supreme health potion (Store Item),Character World Transfer available,100 Sword Fighting (Loyalty bonus not included),,,"Aug 27 2020, 10:06 CEST",Not Sold,400,Elite Knight
"Aug 28 2020, 10:00 CEST","""a fire axe""","""a knight armor""","""knight legs""","""a tower shield""",82,Lord Aiki,Solidera,Male,104 Axe Fighting (Loyalty bonus not included),97 Shielding (Loyalty bonus not included),,,,"Aug 27 2020, 10:08 CEST",Sold,201,Elite Knight
"Aug 28 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",226,Ese Palladinha,Peloria,Male,82 Shielding (Loyalty bonus not included),Character World Transfer available,226 Level,24 Magic Level (Loyalty bonus not included),95 Distance Fighting (Loyalty bonus not included),"Aug 27 2020, 10:06 CEST",Sold,1350,Royal Paladin
"Aug 28 2020, 10:00 CEST","""a warsinger bow""","""a paladin armor""","""a yalahari leg piece""","11x ""a tentacle piece""",100,Robigot Fledankos,Talera,Male,118 Distance Fighting (Loyalty bonus not included),Character World Transfer available,"Blessings active: 7/7, Twist of Fate active: yes",,,"Aug 27 2020, 10:13 CEST",Sold,1891,Royal Paladin
"Aug 28 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",131,Druidera Nenas,Quintera,Male,,,,,,"Aug 27 2020, 10:07 CEST",Sold,1051,Elder Druid
"Aug 28 2020, 10:00 CEST","""a master archer's armor""","""an elite draken helmet""","""prismatic legs""","""a rift bow""",161,Galvaris,Estela,Male,161 Level,23 Magic Level (Loyalty bonus not included),107 Distance Fighting (Loyalty bonus not included),93 Shielding (Loyalty bonus not included),"112764 Gold total in bank, inventory and depot","Aug 27 2020, 10:05 CEST",Sold,1021,Royal Paladin
"Aug 28 2020, 10:00 CEST","""a demon helmet""","""an ornate shield""","""a gnome sword""","""(no item for display selected)""",198,Thelzcwb,Ombra,Male,"Total Charm Points 1760, Unused Charm Points: 160",103 Sword Fighting (Loyalty bonus not included),9 Magic Level (Loyalty bonus not included),,,"Aug 27 2020, 10:07 CEST",Sold,1505,Elite Knight
"Aug 28 2020, 10:00 CEST","""a wood cape""","""draken boots""","""a master archer's armor""","""a yalahari leg piece""",122,Night Pali,Belobra,Male,100 Shielding (Loyalty bonus not included),Character World Transfer available,110 Distance Fighting (Loyalty bonus not included),71 Achievement Points,,"Aug 27 2020, 10:13 CEST",Sold,751,Royal Paladin
"Aug 28 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",315,Artbat,Honbra,Male,,,,,,"Aug 27 2020, 10:07 CEST",Sold,5701,Elder Druid
"Aug 28 2020, 10:00 CEST","44x ""a paralyse rune""","""a mastermind shield""","""a blue robe""","""a dream blossom staff""",521,Windbreak Rzenha,Firmera,Male,"461002 Gold total in bank, inventory and depot",102 Magic Level (Loyalty bonus not included),521 Level,"Total Charm Points 3450, Unused Charm Points: 50",Monsters in Bestiary completed: 143,"Aug 27 2020, 10:06 CEST",Sold,14022,Druid
"Aug 28 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",103,Maguitho Saenz,Solidera,Male,65 Magic Level (Loyalty bonus not included),103 Level,"Total Charm Points 90, Unused Charm Points: 90",1 Quests completed,,"Aug 27 2020, 10:08 CEST",Sold,250,Master Sorcerer
"Aug 28 2020, 10:00 CEST","""a magic sword""","""a yalahari mask""","""a royal scale robe""","""gill legs""",206,Gota Cwbaang,Zenobra,Female,"Achievement ""Rathleton Citizen"" accomplished",130 Achievement Points,"Blessings active: 7/7, Twist of Fate active: yes",206 Level,78 Magic Level (Loyalty bonus not included),"Aug 27 2020, 10:06 CEST",Sold,2000,Master Sorcerer
"Aug 28 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",200,An Apparition,Estela,Male,,,,,,"Aug 27 2020, 10:05 CEST",Sold,1402,Elder Druid
"Aug 28 2020, 10:00 CEST","""a vampire lord token""","""a bar of gold""","""a silver raid token""","""a rift bow""",127,Legolas is Back,Funera,Male,"Achievement ""Secret Agent"" accomplished",Character World Transfer available,127 Level,"Achievement ""Hunting Permit"" accomplished",,"Aug 27 2020, 10:05 CEST",Sold,352,Royal Paladin
"Aug 28 2020, 10:00 CEST","""pirate knee breeches""","""a pirate shirt""","""a pirate hat""","""a dragon backpack""",111,Pudimn leite,Impera,Female,"Blessings active: 5/7, Twist of Fate active: yes",9 Quests completed,109 Sword Fighting (Loyalty bonus not included),73 Axe Fighting (Loyalty bonus not included),111 Level,"Aug 27 2020, 10:06 CEST",Sold,600,Elite Knight
"Aug 28 2020, 10:00 CEST","""a gill gugel""","""gill legs""","""a spellbook of vigilance""","2x ""a dream blossom staff""",210,Khalesy Targaryen,Nefera,Female,85 Magic Level (Loyalty bonus not included),46 Achievement Points,,,,"Aug 27 2020, 10:09 CEST",Sold,1101,Elder Druid
"Aug 28 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",178,Almeirao,Belobra,Male,3432x an ultimate spirit potion (Store Item),"Total Charm Points 900, Unused Charm Points: 300",112 Distance Fighting (Loyalty bonus not included),23 Magic Level (Loyalty bonus not included),102 Shielding (Loyalty bonus not included),"Aug 27 2020, 10:08 CEST",Sold,1401,Royal Paladin
"Aug 28 2020, 10:00 CEST","""a rift crossbow""","""winged boots""","""(no item for display selected)""","""(no item for display selected)""",313,King Cesarz,Harmonia,Male,1x a ferumbras exercise dummy (Store Item),115 Distance Fighting (Loyalty bonus not included),"Total Charm Points 1657, Unused Charm Points: 257",Store Outfits: 1,Store Mounts: 1,"Aug 27 2020, 10:05 CEST",Sold,4002,Paladin
"Aug 28 2020, 10:00 CEST","""boots of haste""","1,034x ""a burst arrow""","""an elvish bow""","""a bag of apple slices""",33,Skillaren,Vunira,Male,305x a magic wall rune (Store Item),"Blessings active: 5/7, Twist of Fate active: yes","229995 Gold total in bank, inventory and depot",20 Magic Level (Loyalty bonus not included),111 Distance Fighting (Loyalty bonus not included),"Aug 27 2020, 10:06 CEST",Sold,621,Royal Paladin
"Aug 28 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",160,Sorc Sniper,Belobra,Male,Character World Transfer available,83 Magic Level (Loyalty bonus not included),48 Achievement Points,,,"Aug 27 2020, 10:14 CEST",Sold,502,Master Sorcerer
"Aug 28 2020, 10:00 CEST","""the holy Tible""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",333,Drozy Hellstorm,Talera,Male,89 Magic Level (Loyalty bonus not included),"Total Charm Points 1330, Unused Charm Points: 530",Character World Transfer available,Unused Task Tokens: 104,Unlocked Powerful Imbuements: 9,"Aug 27 2020, 10:13 CEST",Sold,3000,Sorcerer
"Aug 28 2020, 10:00 CEST","600x ""a crystal coin""","""firewalker boots""","""a bow of destruction""","""dark whispers""",256,Nonir Palax,Secura,Male,114 Achievement Points,26 Magic Level (Loyalty bonus not included),Character World Transfer available,"6405691 Gold total in bank, inventory and depot",108 Distance Fighting (Loyalty bonus not included),"Aug 27 2020, 10:06 CEST",Sold,3051,Paladin
"Aug 28 2020, 10:00 CEST","3x ""a cuckoo clock""","2x ""a rope""","3x ""a tusk""","""a fishbone""",405,Snorlaxzor,Wintera,Male,Store Outfits: 0,Monsters in Bestiary completed: 5,"Hirelings total: 0, Professions: 0, Outfits: 0","Total Charm Points 185, Unused Charm Points: 185",46 Sword Fighting (Loyalty bonus not included),"Aug 27 2020, 10:10 CEST",Sold,9999,Knight
"Aug 28 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",156,Zephir Eliora,Pacera,Female,99 Axe Fighting (Loyalty bonus not included),94 Shielding (Loyalty bonus not included),51 Achievement Points,,,"Aug 27 2020, 10:06 CEST",Sold,351,Elite Knight
"Aug 28 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",133,Pizgam Axem,Antica,Male,580x an ultimate health potion (Store Item),"Blessings active: 5/7, Twist of Fate active: yes",Character World Transfer available,105 Axe Fighting (Loyalty bonus not included),98 Shielding (Loyalty bonus not included),"Aug 27 2020, 10:07 CEST",Sold,411,Knight
"Aug 28 2020, 10:00 CEST","""an elvenhair rope""","4x ""a beach backpack""","172x ""a beetroot""","92x ""a werefox tail""",114,Lecter Tanki,Libertabra,Male,1x a mana cask (Store Item),"Blessings active: 5/7, Twist of Fate active: no",Monsters in Bestiary completed: 4,114 Level,60 Magic Level (Loyalty bonus not included),"Aug 27 2020, 10:10 CEST",Not Sold,2200,Elder Druid
"Aug 28 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",154,Saint Monica,Secura,Female,"Achievement ""Efreet Ally"" accomplished","Total Charm Points 1107, Unused Charm Points: 1107",24 Magic Level (Loyalty bonus not included),154 Level,97 Distance Fighting (Loyalty bonus not included),"Aug 27 2020, 10:06 CEST",Sold,903,Royal Paladin
"Aug 28 2020, 10:00 CEST","""a hat of the mad""","""a spellbook of mind control""","""Zaoan legs""","""gill legs""",103,Humiz,Pacera,Male,"295048 Gold total in bank, inventory and depot",103 Level,78 Magic Level (Loyalty bonus not included),Character World Transfer available,37 Shielding (Loyalty bonus not included),"Aug 27 2020, 10:08 CEST",Sold,268,Elder Druid
"Aug 28 2020, 10:00 CEST","""a platinum amulet""","""knight legs""","""a crusader helmet""","""a paladin armor""",33,Metal Drummer,Zunera,Male,2360x a strong mana potion (Store Item),21 Magic Level (Loyalty bonus not included),Unused Task Tokens: 295,124 Distance Fighting (Loyalty bonus not included),113 Shielding (Loyalty bonus not included),"Aug 27 2020, 10:08 CEST",Sold,2340,Paladin
"Aug 28 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",30,Sanguinariio Azteca,Zunera,Male,88 Club Fighting (Loyalty bonus not included),90 Axe Fighting (Loyalty bonus not included),90 Sword Fighting (Loyalty bonus not included),93 Shielding (Loyalty bonus not included),,"Aug 27 2020, 10:07 CEST",Not Sold,150,Knight
"Aug 28 2020, 10:00 CEST","""boots of haste""","""a pair of soft boots""","""a yalahari mask""","""a calopteryx cape""",116,Mago de Itaquera,Ferobra,Male,116 Level,64 Magic Level (Loyalty bonus not included),"Total Charm Points 295, Unused Charm Points: 295",31 Achievement Points,,"Aug 27 2020, 10:08 CEST",Sold,400,Master Sorcerer
"Aug 28 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",75,Greg Empalador,Lutabra,Male,93 Sword Fighting (Loyalty bonus not included),86 Shielding (Loyalty bonus not included),75 Level,,,"Aug 27 2020, 10:16 CEST",Sold,201,Elite Knight
"Aug 28 2020, 10:00 CEST","""a blade of corruption""","""a prismatic helmet""","""a prismatic armor""","""a prismatic shield""",216,Markan Brave,Lobera,Male,Character World Transfer available,103 Sword Fighting (Loyalty bonus not included),146 Achievement Points,,,"Aug 27 2020, 10:10 CEST",Sold,1371,Elite Knight
"Aug 28 2020, 10:00 CEST","""guardian boots""","""a Zaoan helmet""","""prismatic legs""","2x ""Ferumbras' Candy Hat""",236,Thala Blan,Kalibra,Female,"Total Charm Points 1127, Unused Charm Points: 327",27 Magic Level (Loyalty bonus not included),108 Distance Fighting (Loyalty bonus not included),,,"Aug 27 2020, 10:08 CEST",Sold,1501,Royal Paladin
"Aug 28 2020, 10:00 CEST","""a fire sword""","""a crown armor""","""a crown helmet""","""a crown shield""",41,Uwu,Antica,Male,108 Sword Fighting (Loyalty bonus not included),101 Shielding (Loyalty bonus not included),Character World Transfer available,6 Magic Level (Loyalty bonus not included),"Blessings active: 5/7, Twist of Fate active: yes","Aug 27 2020, 10:07 CEST",Sold,1101,Elite Knight
"Aug 28 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",61,Crown the Soldier,Cosera,Male,"Achievement ""Brutal Politeness"" accomplished",108 Axe Fighting (Loyalty bonus not included),101 Shielding (Loyalty bonus not included),61 Level,6 Magic Level (Loyalty bonus not included),"Aug 27 2020, 10:07 CEST",Sold,1931,Elite Knight
"Aug 28 2020, 10:00 CEST","""a royal axe""","""a moon backpack""","""depth calcei""","""an ornate shield""",182,Sawada Tsunayoshi,Luminera,Male,110 Shielding (Loyalty bonus not included),117 Axe Fighting (Loyalty bonus not included),,,,"Aug 27 2020, 10:05 CEST",Sold,2000,Elite Knight
"Aug 28 2020, 10:00 CEST","2x ""a backpack of holding""","""an ornate shield""","""a shiny blade""","""a foxtail amulet""",152,Raspuknigth,Lobera,Male,1x a gold pouch (Store Item),510x a supreme health potion (Store Item),103 Sword Fighting (Loyalty bonus not included),"Blessings active: 7/7, Twist of Fate active: yes",152 Level,"Aug 27 2020, 10:10 CEST",Not Sold,1200,Elite Knight
"Aug 28 2020, 10:00 CEST","403x ""a candy cane""","""worn soft boots""","""a spellbook of vigilance""","""porcelain mask""",369,Mista Shifoo,Lobera,Male,96 Magic Level (Loyalty bonus not included),"Achievement ""Huntsman"" accomplished",Unlocked Powerful Imbuements: 14,"Achievement ""I Did My Part"" accomplished",Character World Transfer available,"Aug 27 2020, 10:13 CEST",Sold,7001,Elder Druid
"Aug 28 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",212,Crectiv,Estela,Male,960x an ultimate mana potion (Store Item),"Total Charm Points 661, Unused Charm Points: 661",82 Magic Level (Loyalty bonus not included),212 Level,,"Aug 27 2020, 10:05 CEST",Sold,1601,Elder Druid
"Aug 28 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",107,Wiloww,Solidera,Male,63 Magic Level (Loyalty bonus not included),10 Achievement Points,,,,"Aug 27 2020, 10:11 CEST",Sold,350,Sorcerer
"Aug 28 2020, 10:00 CEST","""a firemind raiment""","""a swan feather cloak""","""(no item for display selected)""","""(no item for display selected)""",586,Bluestar Raven,Vunira,Male,"Achievement ""Alumni"" accomplished","Total Charm Points 3266, Unused Charm Points: 66","Achievement ""Hat Hunter"" accomplished",Store Outfits: 3,Unlocked Powerful Imbuements: 22,"Aug 27 2020, 10:06 CEST",Not Sold,40000,Master Sorcerer
"Aug 28 2020, 10:00 CEST","""a Zaoan helmet""","""a prismatic armor""","""prismatic legs""","""prismatic boots""",319,Sir Zadymiarz,Kenora,Male,108 Distance Fighting (Loyalty bonus not included),"Total Charm Points 2270, Unused Charm Points: 470",29 Magic Level (Loyalty bonus not included),,,"Aug 27 2020, 10:05 CEST",Sold,4251,Royal Paladin
"Aug 28 2020, 10:00 CEST","""boots of haste""","""the avenger""","""a prismatic helmet""","""a prismatic armor""",154,Balthazar King,Bona,Male,59 Achievement Points,"Total Charm Points 50, Unused Charm Points: 50",95 Sword Fighting (Loyalty bonus not included),86 Shielding (Loyalty bonus not included),8 Magic Level (Loyalty bonus not included),"Aug 27 2020, 10:06 CEST",Sold,651,Knight
"Aug 28 2020, 10:00 CEST","""a bone""","""a bone shield""","""a hardened bone""","""a pelvis bone""",135,Juanda Wymoren,Libertabra,Male,956x a great mana potion (Store Item),1907x an ultimate mana potion (Store Item),177x a magic wall rune (Store Item),135 Level,64 Magic Level (Loyalty bonus not included),"Aug 27 2020, 10:10 CEST",Sold,2001,Elder Druid
"Aug 28 2020, 10:00 CEST","""blue legs""","""boots of haste""","""a vampire shield""","""a paladin armor""",27,Merighi on Mortera,Firmera,Male,93x a mana potion (Store Item),117 Distance Fighting (Loyalty bonus not included),107 Shielding (Loyalty bonus not included),27 Level,10 Magic Level (Loyalty bonus not included),"Aug 27 2020, 10:06 CEST",Sold,2001,Paladin
"Aug 28 2020, 10:00 CEST","""a crystal ring""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",167,Archmed Piquemaradona,Nossobra,Male,,,,,,"Aug 27 2020, 10:07 CEST",Sold,1000,Sorcerer
"Aug 28 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",544,Pollywog,Damora,Male,544 Level,106 Magic Level (Loyalty bonus not included),"Total Charm Points 3629, Unused Charm Points: 229",Unlocked Powerful Imbuements: 11,Character World Transfer available,"Aug 27 2020, 10:05 CEST",Sold,14001,Elder Druid
"Aug 28 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",72,Fyfidin Lytel,Premia,Male,1570x a supreme health potion (Store Item),Character World Transfer available,103 Sword Fighting (Loyalty bonus not included),96 Shielding (Loyalty bonus not included),7 Magic Level (Loyalty bonus not included),"Aug 27 2020, 10:06 CEST",Sold,501,Elite Knight
"Aug 28 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",519,Kuxilo,Luminera,Male,,,,,,"Aug 27 2020, 10:07 CEST",Not Sold,11000,Elder Druid
"Aug 28 2020, 10:00 CEST","""a Zaoan helmet""","""a prismatic armor""","""prismatic legs""","""prismatic boots""",228,Mistress Archer,Menera,Female,"Blessings active: 7/7, Twist of Fate active: yes","34480 Gold total in bank, inventory and depot",19 Quests completed,,,"Aug 27 2020, 10:06 CEST",Sold,4701,Royal Paladin
"Aug 28 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",90,Halls Drops,Inabra,Male,1328x a strong mana potion (Store Item),"475055 Gold total in bank, inventory and depot",97 Shielding (Loyalty bonus not included),Character World Transfer available,106 Distance Fighting (Loyalty bonus not included),"Aug 27 2020, 10:09 CEST",Not Sold,500,Royal Paladin
"Aug 28 2020, 10:00 CEST","""gill legs""","4x ""a spark sphere""","""blue spectacles""","""the supreme cube""",309,Chica Cola Cherry,Pacembra,Female,"Achievement ""Gnome Friend"" accomplished",86 Magic Level (Loyalty bonus not included),Unlocked Powerful Imbuements: 18,"Total Charm Points 1067, Unused Charm Points: 267","Achievement ""A Study in Scarlett"" accomplished","Aug 27 2020, 10:06 CEST",Sold,3500,Druid
"Aug 28 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",483,Hobbeat,Antica,Male,,,,,,"Aug 27 2020, 10:07 CEST",Sold,12502,Paladin
"Aug 28 2020, 10:00 CEST","""draken boots""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",101,Sire Yora,Menera,Male,"96242 Gold total in bank, inventory and depot",106 Distance Fighting (Loyalty bonus not included),95 Shielding (Loyalty bonus not included),7 Achievement Points,,"Aug 27 2020, 10:06 CEST",Sold,351,Paladin
"Aug 28 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",399,Last Reaper,Refugia,Male,314 Achievement Points,"Total Charm Points 1540, Unused Charm Points: 140",98 Magic Level (Loyalty bonus not included),Unlocked Powerful Imbuements: 16,"Achievement ""A Study in Scarlett"" accomplished","Aug 27 2020, 10:05 CEST",Sold,5000,Elder Druid
"Aug 28 2020, 10:00 CEST","""dwarven legs""","""a windborn colossus armor""","""a mycological mace""","""a mace of destruction""",238,Wrror Uzurpator,Premia,Male,24 Achievement Points,101 Club Fighting (Loyalty bonus not included),96 Shielding (Loyalty bonus not included),"371176 Gold total in bank, inventory and depot",238 Level,"Aug 27 2020, 10:07 CEST",Sold,1501,Elite Knight
"Aug 28 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",215,Redslayer Opc,Noctera,Male,1x a hireling lamp (Store Item),1x a ferumbras exercise dummy (Store Item),1x a chest of abundance (Store Item),85 Magic Level (Loyalty bonus not included),"Hirelings total: 1, Professions: 4, Outfits: 0","Aug 27 2020, 10:08 CEST",Sold,3668,Master Sorcerer
"Aug 28 2020, 10:00 CEST","""a panda teddy""","""a captured wolf""","""(no item for display selected)""","""(no item for display selected)""",240,Vinnoso Reprezendant,Celebra,Male,240 Level,89 Magic Level (Loyalty bonus not included),Store Mounts: 1,197 Achievement Points,,"Aug 27 2020, 10:11 CEST",Sold,1351,Sorcerer
"Aug 28 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",324,Blessed Rob,Descubra,Male,,,,,,"Aug 27 2020, 10:07 CEST",Sold,6001,Elder Druid
"Aug 28 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",358,Naa Shi,Pacembra,Male,1x a ferumbras exercise dummy (Store Item),"Total Charm Points 1717, Unused Charm Points: 317",99 Magic Level (Loyalty bonus not included),Store Decoration Items: 2,192 Achievement Points,"Aug 27 2020, 10:06 CEST",Sold,8001,Sorcerer
"Aug 28 2020, 10:00 CEST","""a jewelled backpack""","""a mushroom backpack""","2x ""a teleport crystal""","""the Spatial Warp Almanac""",304,King Roite,Antica,Male,304 Level,Unlocked Powerful Imbuements: 9,90 Magic Level (Loyalty bonus not included),264 Achievement Points,Character World Transfer available,"Aug 27 2020, 10:07 CEST",Sold,3502,Master Sorcerer
"Aug 28 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",294,Weros Gilath,Talera,Male,"Total Charm Points 1907, Unused Charm Points: 807",112 Distance Fighting (Loyalty bonus not included),351 Achievement Points,,,"Aug 27 2020, 10:10 CEST",Sold,2400,Paladin
"Aug 28 2020, 10:00 CEST","""boots of haste""","""a backpack of holding""","""a magic sword""","""a gill coat""",156,Dafaletos Anne,Premia,Male,,,,,,"Aug 27 2020, 10:06 CEST",Sold,851,Master Sorcerer
"Aug 28 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",32,Zlexz,Belobra,Male,100 Distance Fighting (Loyalty bonus not included),90 Shielding (Loyalty bonus not included),Character World Transfer available,,,"Aug 27 2020, 10:14 CEST",Sold,101,Paladin
"Aug 28 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",30,Buja Paladino,Lutabra,Male,95 Distance Fighting (Loyalty bonus not included),86 Shielding (Loyalty bonus not included),"Blessings active: 0/7, Twist of Fate active: no",,,"Aug 27 2020, 10:15 CEST",Sold,101,Royal Paladin
"Aug 28 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",205,Dikke Moordenaar,Zuna,Male,113 Distance Fighting (Loyalty bonus not included),101 Shielding (Loyalty bonus not included),25 Magic Level (Loyalty bonus not included),205 Level,,"Aug 27 2020, 10:03 CEST",Sold,561,Royal Paladin
"Aug 28 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",198,Joka Bandit,Xandebra,Male,"Blessings active: 7/7, Twist of Fate active: yes","Total Charm Points 1077, Unused Charm Points: 477",Character World Transfer available,198 Level,139 Achievement Points,"Aug 27 2020, 10:08 CEST",Sold,1700,Knight
"Aug 28 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",609,Waterblack,Quelibra,Male,"Achievement ""Rift Warrior"" accomplished","Hirelings total: 1, Professions: 1, Outfits: 0",104 Magic Level (Loyalty bonus not included),12 Quests completed,"Total Charm Points 3529, Unused Charm Points: 729","Aug 27 2020, 10:14 CEST",Sold,17001,Sorcerer
"Aug 28 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",138,Ell Maxi,Nefera,Male,114 Sword Fighting (Loyalty bonus not included),Character World Transfer available,138 Level,,,"Aug 27 2020, 10:07 CEST",Not Sold,1500,Elite Knight
"Aug 28 2020, 10:00 CEST","""a prismatic helmet""","7x ""a prismatic armor""","""alloy legs""","""a tagralt blade""",234,Awesome Josmael,Honbra,Male,"Total Charm Points 1069, Unused Charm Points: 469",97 Sword Fighting (Loyalty bonus not included),90 Shielding (Loyalty bonus not included),234 Level,"Achievement ""Archpostman"" accomplished","Aug 27 2020, 10:11 CEST",Sold,1901,Elite Knight
"Aug 28 2020, 10:00 CEST","109x ""a great mana potion""","""a lightning headband""","""a terra hood""","""a wand of defiance""",89,Spy Drigo,Lobera,Male,89 Level,63 Magic Level (Loyalty bonus not included),"Achievement ""Bone Brother"" accomplished","Achievement ""Exemplary Citizen"" accomplished",,"Aug 27 2020, 10:10 CEST",Sold,551,Elder Druid
"Aug 28 2020, 10:00 CEST","""some golden fruits""","""frozen starlight""","""a bottle of Tibian Wine""","""(no item for display selected)""",210,Kennyzitiz,Lutabra,Male,210 Level,Character World Transfer available,"Achievement ""Dungeon Cleaner"" accomplished","Total Charm Points 350, Unused Charm Points: 350","157549 Gold total in bank, inventory and depot","Aug 27 2020, 10:09 CEST",Sold,1001,Master Sorcerer
"Aug 28 2020, 10:00 CEST","61x ""a green gem""","15x ""a stone skin amulet""","3,593x ""a sudden death rune""","400x ""an ultimate mana potion""",274,Arkene Jana,Vunira,Female,"Total Charm Points 935, Unused Charm Points: 135",274 Level,90 Magic Level (Loyalty bonus not included),Additional Slots: Prey,Unlocked Powerful Imbuements: 3,"Aug 27 2020, 10:07 CEST",Sold,4201,Druid
"Aug 28 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",85,Inte Brydd,Faluna,Male,85 Level,,,,,"Aug 27 2020, 10:06 CEST",Sold,351,Sorcerer
